pokeman\mewtwo\00000239.jpg,3
pokeman\bulbasaur\00000167.jpg,1
pokeman\mewtwo\00000191.jpg,3
pokeman\bulbasaur\00000191.png,1
pokeman\mewtwo\00000007.jpg,3
pokeman\bulbasaur\00000101.png,1
pokeman\pikachu\00000054.jpg,4
pokeman\squirtle\00000107.jpg,5
pokeman\squirtle\00000109.png,5
pokeman\bulbasaur\00000207.jpg,1
pokeman\pikachu\00000224.jpg,4
pokeman\squirtle\00000157.jpg,5
pokeman\squirtle\00000089.png,5
pokeman\charmander\00000225.png,2
pokeman\mewtwo\00000074.png,3
pokeman\bulbasaur\00000157.png,1
pokeman\squirtle\00000170.png,5
pokeman\bulbasaur\00000091.png,1
pokeman\mewtwo\00000229.png,3
pokeman\squirtle\00000100.png,5
pokeman\mewtwo\00000028.jpg,3
pokeman\bulbasaur\00000004.png,1
pokeman\bulbasaur\00000213.jpg,1
pokeman\bulbasaur\00000231.jpg,1
pokeman\mewtwo\00000233.png,3
pokeman\bulbasaur\00000152.jpg,1
pokeman\pikachu\00000019.jpg,4
pokeman\bulbasaur\00000131.jpg,1
pokeman\pikachu\00000137.jpg,4
pokeman\bulbasaur\00000234.png,1
pokeman\bulbasaur\00000057.jpg,1
pokeman\squirtle\00000022.png,5
pokeman\squirtle\00000146.png,5
pokeman\pikachu\00000191.jpg,4
pokeman\pikachu\00000040.png,4
pokeman\pikachu\00000056.jpg,4
pokeman\charmander\00000119.jpg,2
pokeman\charmander\00000048.png,2
pokeman\squirtle\00000108.jpg,5
pokeman\charmander\00000158.jpg,2
pokeman\mewtwo\00000126.jpg,3
pokeman\pikachu\00000206.jpg,4
pokeman\bulbasaur\00000130.png,1
pokeman\pikachu\00000068.png,4
pokeman\bulbasaur\00000227.png,1
pokeman\pikachu\00000135.png,4
pokeman\mewtwo\00000156.jpg,3
pokeman\bulbasaur\00000215.png,1
pokeman\squirtle\00000177.jpg,5
pokeman\bulbasaur\00000007.jpg,1
pokeman\bulbasaur\00000060.png,1
pokeman\charmander\00000060.jpg,2
pokeman\charmander\00000052.jpg,2
pokeman\squirtle\00000191.jpg,5
pokeman\squirtle\00000008.png,5
pokeman\squirtle\00000092.jpg,5
pokeman\pikachu\00000031.png,4
pokeman\squirtle\00000186.png,5
pokeman\bulbasaur\00000222.jpg,1
pokeman\squirtle\00000206.png,5
pokeman\squirtle\00000155.jpg,5
pokeman\pikachu\00000139.png,4
pokeman\mewtwo\00000133.jpg,3
pokeman\squirtle\00000082.jpg,5
pokeman\mewtwo\00000237.png,3
pokeman\bulbasaur\00000216.jpg,1
pokeman\mewtwo\00000043.png,3
pokeman\pikachu\00000138.jpg,4
pokeman\squirtle\00000060.png,5
pokeman\charmander\00000219.png,2
pokeman\squirtle\00000076.png,5
pokeman\mewtwo\00000244.jpg,3
pokeman\squirtle\00000002.jpg,5
pokeman\mewtwo\00000106.png,3
pokeman\pikachu\00000036.png,4
pokeman\squirtle\00000147.png,5
pokeman\charmander\00000088.jpg,2
pokeman\squirtle\00000073.png,5
pokeman\bulbasaur\00000051.jpg,1
pokeman\squirtle\00000012.png,5
pokeman\squirtle\00000081.png,5
pokeman\charmander\00000177.jpg,2
